No_Metals,1,2,3,,,,,
Metal_cat1_,Co,Ni,W,None,,,,
Metal_cat2_,Co,Ni,None,,,,,
Element_1_support_,Al,Si,Ti,None,,,,
Element_2_support_,Al,Si,Ti,Zr,metal,None,,
Element_3_support_,Ti,None,,,,,,
Nano,No,Si,,,,,,
Mesostructure,No,Si,,,,,,
Promoters,Co,Ni,None,,,,,
Impregnation_method.1,coimpregnation,other,successive,,,,,
Aditive,CA,HPA,None,other,,,,
Kind_cat,CoMo,CoMoW,MoHet,NiMo,NiMoW,,,
Support_1,Al2O3,MCM,SBA,SiO,TUD,TiO2,None,zeolite
Support_2,Al2O3,FDU,MO,SBA,TiO2,None,,
P_Mo,(NH4)6Mo7O24,HPA_Mo,MoOx,,,,,
P_Ni,Ni(NO3)2,Ni(SO4),None,,,,,
P_Co,Co(NO3),CoCO3,Co_organic,HPA_Co,None,,,
P_W,(NH4)6H2W12O40,None,,,,,,
P_Al,SiO,TEOS_Si,None,other,,,,
P_Si,Al2O3,Al_inorganic,Al_organic,Boehmite_Al,None,,,
P_Ti,Ti(i-PrO)4,TiO2,None,,,,,
Structure_directing_agent,CTAB,F127,P123,TEG,None,,,
